"CUESTIONARIO","CCAA","TIPO","TIPOINT","DCP1","DCP2","DCP3","DCP4","CFZP05","CFZP06","CFZP07","CFZP08","CFZP09","CFZP10","CFZP11","CMPP12","CMPP13","CMPP14","CMPP15","CMPP16","BENCOP17","BENCOP18","BENCOP19","BENCOP20","BENCOP21","BENCOP22","BENSOP23","BENSOP24","BENSOP25","BENSOP26","BENSOP27","BENTEP28","BENTEP29","BENTEP30","BENTEP31","BENTEP32","SACRELP33","SACRELP34","SACRELP35","SACCOSP36","SACCOSP37","SACCOSP38","VALRELP39","VALRELP40","VALRELP41","VALRELP42","SATP43","SATP44","SATP45","SATP46","SATP47","SATP48","LOYP49","LOYP50","LOYP51","REQP52","REQP53","REQP54","REQP55","REQP56","REQP57","REAP58","REAP59","REAP60","REAP61","RSQP62","RSQP63","RSQP64","RSQP65","RLP66","RLP67","RLP68","RLP69","RLP70","RLP71","RLP72","RLP73","REGP74","REGP75","REGP76","REGP77","TICP78","TICP79","TICP80","TICP81","TICP82","TICP83","TICP84","TICP85","TICP86","ITTICP87","ITTICP88","ITTICP89","ITTICP90","ITTICP91","ITTICP92","ITTICP93","ITTICP94","ITTICP95","ITTICP96","ITTICP97","ITTICP98","ITTICP99","ITTICP100","ITTICP101","ITTICP102","ITTICP103","ITTICP104","ITTICP105","INRELP106","INRELP107","INRELP108","INRELP109","INRELP110","INRELP111","CAPRELP112","CAPRELP113","CAPRELP114","CAPRELP115","CAPRELP116","CAPRELP117","CAPRELP118","CAPRELP119","CAPRELP120","CAPRELP121","EMPRESA","DIRECCION","CP","TEL","MUNICIPIO","PROVINCIA","ENTREVISTADO","PROVEEDOR","VENTAS2013","INVERSTIC2013","lon","lat"
11,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,15,50,6,6,5,5,5,6,6,5,5,6,6,6,5,6,5,6,5,6,5,6,6,5,7,1,1,1,1,1,1,5,5,6,6,5,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,6,5,Neutral,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,1,1,1,1,1,1,1,6,6,1,1,1,5,1,7,7,1,7,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,7,Neutral,7,7,7,5,5,7,1,"LA ESENCIA DE LA TIERRA","JESÚS, 88",46007,"963 80 03 25","VALÈNCIA","VALÈNCIA","EVA GÓMEZ - PROPIETARIA","LEVANDIET - VALÈNCIA",NA,NA,-0.3871792,39.4620435
12,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,1,60,2,Neutral,5,5,Neutral,5,5,5,Neutral,6,6,5,5,5,5,5,Neutral,5,5,5,5,5,6,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,5,6,Neutral,5,5,5,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,5,5,6,5,6,5,5,5,6,6,6,1,6,6,6,1,1,5,5,1,1,1,5,Neutral,Neutral,Neutral,6,6,6,6,6,6,7,5,6,6,6,6,5,"MANDALA FRESH","SALAMANCA, 19",46005,"963 44 11 66","VALÈNCIA","VALÈNCIA","JOSÉ ALFONSO - GERENTE","BIOSPIRIT - GIRONA",3e+05,NA,-0.3644276,39.4667466
13,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,10,40,3,7,7,6,6,7,7,7,7,7,7,7,Neutral,7,7,7,6,7,7,7,7,7,7,7,7,7,7,5,Neutral,5,6,5,7,Neutral,5,5,5,5,5,5,5,6,7,7,7,7,7,7,Neutral,7,6,5,5,5,5,5,5,Neutral,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,Neutral,Neutral,5,Neutral,1,1,1,7,5,Neutral,5,5,5,1,1,1,1,1,1,1,7,7,7,1,1,1,7,7,1,1,1,1,1,1,1,Neutral,Neutral,Neutral,7,6,7,7,7,7,5,5,7,Neutral,"PANCUENCA, S. L.","AV. GIORGETA, 16",46007,"963 80 21 22","VALÈNCIA","VALÈNCIA","CARMINA AMATUD - GERENTE","EUROPASTRI - BARCELONA",NA,NA,-0.3861291,39.4610148
14,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,12,40,8,6,7,6,6,7,7,7,5,6,6,6,6,5.784,6,6,Neutral,6,6,Neutral,3,Neutral,6,3,Neutral,Neutral,Neutral,Neutral,Neutral,5,6,6,6,Neutral,6,1,1,1,1,5,Neutral,3,7,6,6,7,7,7,3,3,3,2,3,3,3,3,3,2,3,3,3,Neutral,3,Neutral,3,Neutral,Neutral,Neutral,3,3,3,3,3,3,2,2,2,2,Neutral,Neutral,Neutral,1,Neutral,1,1,1,1,1,1,1,1,2.226,3,3,1,1,7,Neutral,1,1,1,1,2,3,2,3,3,3,6,6,7,6,7,Neutral,Neutral,Neutral,5,6,"PASTISSERIA MALVA-ROSA","AV. MALVA-ROSA, 136",46011,"905 55 10 52","VALÈNCIA","VALÈNCIA","JUAN - ENCARGADO","NO CONSTA - VALÈNCIA",NA,NA,-0.3276941,39.4836387
15,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,10,60,4,6,6,7,6,6,5,6,6,6,7,7,6,6,6,6,6,6,5,5,5,5,6,3,3,3,3,3,1,5,6,6,2,Neutral,3,6,5,5,5,5,6,1,6,5,6,6,6,6,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,3,Neutral,2,Neutral,3,3,2,5,Neutral,2,2,6,6,5,6,6,1,1,7,6,1,7,1,1,1,7,7,1,1,Neutral,7,1,1,1,7,2,2,2,5,5,Neutral,7,7,7,7,7,7,6,6,6,5,"RED DE CARNICERIAS","PL. JAUME I, 3",46701,"962 96 18 08","GANDIA","VALÈNCIA","RAFAEL RAMOS - JEFE ADMÓN.","SADA - SUECA",1100000,5000,-0.1525434,38.96898
16,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,10,60,2,Neutral,Neutral,Neutral,Neutral,5,6,5,5,6,6,6,5,6,6,6,6,6,6,5,5,3,5,3,3,3,3,3,3,5,6,5,Neutral,3,5,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,6,6,5,5,5,5,3,3,5,3,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,Neutral,Neutral,3,3,3,3,3,Neutral,3,3,Neutral,Neutral,3,3,Neutral,Neutral,1,1,1,1,1,1,1,1,1,6,2,1,1,2,5,1,1,1,1,3,3,3,3,3,3,3,3,Neutral,6,6,2,Neutral,Neutral,6,3,"AUTOSERVICIO LA TORRE","PIZARRO, 9",46100,"963 63 88 73","BURJASSOT","VALÈNCIA","RAFAEL - JEFE TIENDA","GROS MERCAT - XIRIVELLA",NA,1000,-0.4155464,39.5067714
17,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,2,50,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Neutral,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,1,3,Neutral,1,5,5,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,"ULTRAMARINOS ANA - SUPER","VALÈNCIA, 29",46100,"963 63 88 94","BURJASSOT","VALÈNCIA","ANA ARENAS - JEFA TIENDA","LLOVERA - LA POBLA DE VALLBONA",NA,1500,-0.4198717,39.5082436
18,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,20,30,99,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,6,7,4.528,6,5,6,6,7,1,Neutral,1,1,6,6,1,1,7,7,1,1,1,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"PRINCESALÍSIMO","DELS ESTUDIANTS, 31",46701,"962 84 38 00","GANDIA","VALÈNCIA","JOSÉ RUIZ - CONTABLE","HEINEKEN - VALÈNCIA",2e+07,1e+05,-0.1807035,38.9785582
19,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,10,55,2,7,7,6,7,7,7,7,5,6,7,6,5,6,6,6,6,6,6,7,7,7,7,6,6,6,5,Neutral,Neutral,5,5,6,6,6,5,6,6,6,6,5,5,5,6,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,5,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,2,1,1,7,7,7,7,7,5,6,6,6,2,"EXTRACARN, S. L.","GARBÍ, 11",46815,"962 23 62 86","LLOSA DE RANES","VALÈNCIA","CASANDRA CLEMENTE -ADMÓN.","NATUCAR - CATARROJA",1800000,NA,-0.5396928,39.0152057
20,Comunitat Valenciana,Tienda integrada en una cooperativa de detallistas,Tienda integrada,Alimentación,10,70,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,6,6,6,6,6,2,2,2,2,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,6,6,6,6,6,6,6,6,6,6,"COOP. AGRÍCOLA LA CONSTANCIA","CAMÍ CASABLANCA,S/N",46185,"962 76 11 74","POBLA  VALLBONA","VALÈNCIA","DOLORES - JEFA TIENDA","COARVAL - VALÈNCIA",NA,NA,-0.5461268,39.5987597
21,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,3,90,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Neutral,Neutral,Neutral,3,Neutral,Neutral,Neutral,3,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,3,3,3,3,3,Neutral,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,3,3,3,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,"PANADERIA RAUSELL, C. B.","LA PARRA, 48",46185,"962 76 15 14","POBLA  VALLBONA","VALÈNCIA","VICENTA - ENCARGADA","BERLYS - VALÈNCIA",NA,1000,-0.5503432,39.5928817
22,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,25,98,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,2,2,2,Neutral,2,2,1,1,1,1,Neutral,1,5,5,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,"PESCADERIA SOLER","&",46185,"&","POBLA  VALLBONA","VALÈNCIA","VICENTE SOLER - PROPIETARIO","MERCADO CENTRAL - VALÈNCIA",NA,1000,NA,NA
23,Comunitat Valenciana,Tienda sucursalista,Tienda integrada,Alimentación,10,25,90,7,6,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,6,6,7,7,5,7,7,6,6,6,6,5,6,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7,7,1,1,1,1,1,6,7,6,6,6,6,6,6,7,7,6,6,5,5,6,6,5,5,Neutral,5,Neutral,6,5,2,1,6,1,1,5,7,7,1,1,7,1,1,1,1,7,7,1,1,1,1,7,1,1,1,1,2,1,2,2,2,3,7,7,7,7,7,1,7,7,7,2,"FRICARNE, S. L.","JAUME BALMES, 29",46930,"961 53 73 29","QUART  POBLET","VALÈNCIA","FRANCISCO JAVIER BARQUERO - GERENTE","GRUPO COBALCO - ALZIRA",1.3e+07,NA,-0.4366718,39.4800048
24,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,20,70,1,7,6,6,5,6,5,6,5,6,6,5.776,5,6,6,6,5,6,6,6,6,7,7,6,5,6,5,5,5,6,6,6,6,5,6,6,6,6,6,5,5,Neutral,6,6,6,6,6,6,Neutral,Neutral,6,Neutral,6,6,5,5,Neutral,Neutral,6,6,6,6,5,5,5,5,5,6,5,5,5,5,5,5,Neutral,Neutral,Neutral,Neutral,5,Neutral,Neutral,5,5,1,1,1,1,1,1,1,1,1,7,7,1,1,7,7,1,1,1,1,Neutral,Neutral,Neutral,5,5,Neutral,7,7,6,6,6,5,Neutral,Neutral,6,5,"COBEL CARNICEROS, S. L.","DR. GÓMEZ FERRER, 10",46910,"963 75 55 78","SEDAVÍ","VALÈNCIA","FRANCISCO ARCOS - ADMINISTRADOR","ALTO MIJARES - TERUEL",250000,2000,-0.3937324,39.4265581
25,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,10,60,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,5,6,6,6,5,6,7,7,7,7,7,6,6,7,7,6,5,5,5,6,5,5,5,5,5,5,6,6,6,Neutral,5,5,Neutral,5,Neutral,5,5,5,5,Neutral,Neutral,5,5,5,5,5,5,5,5,5,Neutral,5,5,5,5,5,3,3,3,3,3,3,3,Neutral,2,2,2,2,2,2,2,1.323,1,2,2,3,Neutral,2,5,5,1,2,1,1,1,1,1,1,1,7,7,7,7,6,3,Neutral,5,7,6,"SPAR PEPITA PONS","AV. MADRID, 34",46910,"963 76 05 87","SEDAVÍ","VALÈNCIA","PEPITA PONS - PROPIETARIA","MERCADO CENTRAL - VALÈNCIA",50000,2000,-0.3846382,39.427224
26,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,36,20,20,7,7,6,7,7,7,6,6,6,6,6,6,7,6,5,5,5,6,7,7,6,7,1,1,1,1,1,1,7,Neutral,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7,7,7,7,7,7,7,7,Neutral,Neutral,Neutral,5,Neutral,5,5,5,Neutral,5,5,5,5,Neutral,5,5,Neutral,Neutral,6,7,6,6,5,Neutral,5,5,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,7,5,5,7,6,Neutral,3,3,5,5,"AUTOSERVICIO ENRIQUE NEBOT","SAN PEDRO, 8",12100,"964 28 27 76","CASTELLÓ PLANA","CASTELLÓ","ENRIQUE NEBOT - PROPIETARIO","MERCADO ABASTOS - CASTELLÓ",NA,NA,0.0071009,39.9733013
27,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,20,40,20,7,6,7,7,6,6,7,7,6,7,7,7,7,7,7,Neutral,6,6,6,6,6,7,6,5,5,5,6,6,6,7,7,7,7,7,Neutral,Neutral,Neutral,Neutral,5,5,6,7,7,7,7,7,7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,5,Neutral,5,5,6,6,5,5,7,7,6,6,6,5,6,1,1,1,1,6,6,5,1,6,7,7,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,Neutral,Neutral,Neutral,7,7,7,7,7,7,7,7,5,Neutral,"AUTOSERVICIO ALCALÀ","ALCALÀ, 6",12570,"964 41 28 71","ALCALÀ XIVERT","CASTELLÓ","JUAN LUIS - GERENTE","COALIMENT - PATERNA",NA,NA,0.2256261,40.3332135
28,Comunitat Valenciana,Tienda independiente,Tienda independiente,Alimentación,15,70,2,7,7,7,7,6,7,7,7,7,7,6,6,6,6,7,Neutral,6,6,7,7,7,7,6,1,1,1,1,3.992,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,Neutral,5,6,6,6,5,5,6,6,5,5,6,6,4.683,7,7,6,6,5,6,6,6,6,6,7,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,Neutral,Neutral,Neutral,1,1,1,7,7,7,7,7,7,3,3,5,3,"CONGELAT","CONSTITUCIÓ, 28",12110,"964 36 33 16","L'ALCORA","CASTELLÓ","EULALIA - ENCARGADA","FRUDESA - CASTELLÓ",NA,NA,-0.2144463,40.075386
